full_name,id,barcode,abs_type,belt_length,belt_type,car_brands,compatibility,compatible_cars,diameter,dimension,disc_size,drive_type,engine_code,engine_displacement,fuel_type,main_category,material,part_number,position,sub_category,transmission_type,width,year_from,year_to
משולש גטס ימיןbtw,,,,,,['Hyundai'],,Hyundai: Getz,,,,,,,,Suspension,,,Right,Control Arm,,,,
משולש גטס שמאל,,,,,,['Hyundai'],,Hyundai: Getz,,,,,,,,Suspension,,,Left,Control Arm,,,,
משולש טוארג 03-10 ימין + שמאל עליון,,,,,,[],"['משולש טוארג 03-10 ימין', 'שמאל עליון']",,,,,,,,,Suspension,,,"Right, Left, Upper",Control Arm,,,2003,2010
משולש טריוס מ06 שמאל,,,,,,['Daihatsu'],,Daihatsu: Terios,,,,,,,,Suspension,,,Left,Control Arm,,,2006,
משולש ימין 18 ממ פוקוס מ06,,,,,,['Ford'],,Ford: Focus,,18 mm,,,,,,Suspension,,,Right,Right Control Arm,,,2006,
משולש ימין 5008 + 3008 מ17,,,,,,['Peugeot'],"['משולש ימין 5008', '3008 מ17']","Peugeot: 3008, Peugeot: 5008",,,,,,,,Suspension,,,Right,Right Control Arm,,,2017,
משולש ימין אוקטביה מ05,,,,,,['Skoda'],,Skoda: Octavia,,,,,,,,Suspension,,,Right,Right Control Arm,,,2005,
משולש ימין אקסטרייל + קשקאי מ08,,,,,,['Nissan'],"['משולש ימין אקסטרייל', 'קשקאי מ08']","Nissan: Qashqai, Nissan: X-Trail",,,,,,,,Suspension,,,Right,Right Control Arm,,,2008,
משולש ימין אקסנט מ07,,,,,,['Hyundai'],,Hyundai: Accent,,,,,,,,Suspension,,,Right,Right Control Arm,,,2007,
משולש ימין ברלינגו מ03,,,,,,['Citroen'],,Citroen: Berlingo,,,,,,,,Suspension,,,Right,Right Control Arm,,,2003,
משולש ימין ברלינגו מ08,,,,,,['Citroen'],,Citroen: Berlingo,,,,,,,,Suspension,,,Right,Right Control Arm,,,2008,
משולש ימין ברלינגו מ19,,,,,,['Citroen'],,Citroen: Berlingo,,,,,,,,Suspension,,,Right,Right Control Arm,,,2019,
משולש ימין גוק מ10,,,,,,['Nissan'],,Nissan: Juke,,,,,,,,Suspension,,,Right,Right Control Arm,,,2010,
משולש ימין גרנד קופה מ16 ברזל גנט 18,,,,,,['Renault'],,Renault: Grand Coupe,,,,,,,,Suspension,Iron,,Right,Right Control Arm,,,2016,
משולש ימין גרנד קופה מ16,,,,,,['Renault'],,Renault: Grand Coupe,,,,,,,,Suspension,,,Right,Right Control Arm,,,2016,
משולש ימין דאציה דאסטר מ14,,,,,,['Dacia'],,,,,,,,,,Suspension,,,Right,Right Control Arm,,,2014,
משולש ימין דאציה דאסטר מ18,,,,,,['Dacia'],,,,,,,,,,Suspension,,,Right,Right Control Arm,,,2018,
משולש ימין טיגואן + פסאט מ11,,,,,,['Volkswagen'],"['משולש ימין טיגואן', 'פסאט מ11']","Volkswagen: Passat, Volkswagen: Tiguan",,,,,,,,Suspension,,,Right,Right Control Arm,,,2011,
משולש ימין טידה מ08,,,,,,['Nissan'],,Nissan: Tiida,,,,,,,,Suspension,,,Right,Right Control Arm,,,2008,
משולש ימין יאריס מ07,,,,,,['Toyota'],,Toyota: Yaris,,,,,,,,Suspension,,,Right,Right Control Arm,,,2007,
משולש ימין ירו מ12,,,,,,[],,,,,,,,,,Suspension,,,Right,Right Control Arm,,,2012,
משולש ימין לנסר מ04,,,,,,['Mitsubishi'],,Mitsubishi: Lancer,,,,,,,,Suspension,,,Right,Right Control Arm,,,2004,
משולש ימין לנסר מ08,,,,,,['Mitsubishi'],,Mitsubishi: Lancer,,,,,,,,Suspension,,,Right,Right Control Arm,,,2008,
משולש ימין מ04 T5,,,,,,['Volkswagen'],,Volkswagen: Transporter T5,,,,,,,,Suspension,,,Right,Right Control Arm,,,2004,
משולש ימין מ06 C3 פיקסו,,,,,,['Citroen'],,Citroen: C3,,,,,,,,Suspension,,,Right,Right Control Arm,,,2006,
משולש ימין מ07 SX4,,,,,,['Suzuki'],,Suzuki: SX4,,,,,,,,Suspension,,,Right,Right Control Arm,,,2007,
משולש ימין מ08 I10,,,,,,['Hyundai'],,Hyundai: i10,,,,,,,,Suspension,,,Right,Right Control Arm,,,2008,
משולש ימין מ10 IX35 + ספורטאג,,,,,,"['Kia', 'Hyundai']","['משולש ימין מ10 IX35', 'ספורטאג']","Hyundai: ix35, Kia: Sportage",,,,,,,,Suspension,,,Right,Right Control Arm,,,2010,
משולש ימין מ11 I25,,,,,,['Hyundai'],,Hyundai: i25,,,,,,,,Suspension,,,Right,Right Control Arm,,,2011,
משולש ימין מ12 XV,,,,,,['Subaru'],,Subaru: XV,,,,,,,,Suspension,,,Right,Right Control Arm,,,2012,
משולש ימין מ13 CX5 + מזדה 6,,,,,,['Mazda'],"['משולש ימין מ13 CX5', 'מזדה 6']","Mazda: Mazda6, Mazda: CX-5",,,,,,,,Suspension,,,Right,Right Control Arm,,,2013,
משולש ימין מ14 C4 + פיקסו,,,,,,['Citroen'],"['משולש ימין מ14 C4', 'פיקסו']",Citroen: C4,,,,,,,,Suspension,,,Right,Right Control Arm,,,2014,
משולש ימין מ14 I10,,,,,,['Hyundai'],,Hyundai: i10,,,,,,,,Suspension,,,Right,Right Control Arm,,,2014,
משולש ימין מ17 XV,,,,,,['Subaru'],,Subaru: XV,,,,,,,,Suspension,,,Right,Right Control Arm,,,2017,
משולש ימין מגאן מ04,,,,,,['Renault'],,Renault: Megane,,,,,,,,Suspension,,,Right,Right Control Arm,,,2004,
משולש ימין מושלם מליבו מ16,,,,,,['Chevrolet'],,Chevrolet: Malibu,,,,,,,,Suspension,,,Right,Right Control Arm,,,2016,
משולש ימין מזדה 2 מ08,,,,,,['Mazda'],,Mazda: Mazda2,,,,,,,,Suspension,,,Right,Right Control Arm,,,2008,
משולש ימין מזדה 2 מ15,,,,,,['Mazda'],,Mazda: Mazda2,,,,,,,,Suspension,,,Right,Right Control Arm,,,2015,
משולש ימין מזדה 3 + 5 עד 08,,,,,,['Mazda'],"['משולש ימין מזדה 3', '5 עד 08']",Mazda: Mazda3,,,,,,,,Suspension,,,Right,Right Control Arm,,,,2008
משולש ימין מזדה 3 מ09,,,,,,['Mazda'],,Mazda: Mazda3,,,,,,,,Suspension,,,Right,Right Control Arm,,,2009,
משולש ימין משולש ימין,,,,,,[],,,,,,,,,,Suspension,,,Right,Right Control Arm,,,,
משולש ימין נירו איוניק מ16,,,,,,"['Kia', 'Hyundai']",,"Hyundai: Ioniq, Kia: Niro",,,,,,,,Suspension,,,Right,Right Control Arm,,,2016,
משולש ימין סופרב מ09 + גטה מ11,,,,,,"['Skoda', 'Volkswagen']","['משולש ימין סופרב מ09', 'גטה מ11']","Skoda: Superb, Volkswagen: Jetta",,,,,,,,Suspension,,,Right,Right Control Arm,,,2009,
משולש ימין סיוויק מ06,,,,,,['Honda'],,Honda: Civic,,,,,,,,Suspension,,,Right,Right Control Arm,,,2006,
משולש ימין סיויק מ06,,,,,,['Honda'],,Honda: Civic,,,,,,,,Suspension,,,Right,Right Control Arm,,,2006,
משולש ימין סיריון מ06,,,,,,['Daihatsu'],,Daihatsu: Sirion,,,,,,,,Suspension,,,Right,Right Control Arm,,,2006,
משולש ימין סנטה פה מ07,,,,,,['Hyundai'],,Hyundai: Santa Fe,,,,,,,,Suspension,,,Right,Right Control Arm,,,2007,
משולש ימין סנטה פה מ13,,,,,,['Hyundai'],,Hyundai: Santa Fe,,,,,,,,Suspension,,,Right,Right Control Arm,,,2013,
משולש ימין סנטרה מ15,,,,,,['Nissan'],,Nissan: Sentra,,,,,,,,Suspension,,,Right,Right Control Arm,,,2015,
משולש ימין ספארק מ10,,,,,,['Chevrolet'],,Chevrolet: Spark,,,,,,,,Suspension,,,Right,Right Control Arm,,,2010,
משולש ימין ספורטאג + טוסון מ16,,,,,,"['Kia', 'Hyundai']","['משולש ימין ספורטאג', 'טוסון מ16']","Hyundai: Tucson, Kia: Sportage",,,,,,,,Suspension,,,Right,Right Control Arm,,,2016,
משולש ימין עד 11 I30 + סיד,,,,,,"['Kia', 'Hyundai']","['משולש ימין עד 11 I30', 'סיד']","Hyundai: i30, Kia: Ceed",,,,,,,,Suspension,,,Right,Right Control Arm,,,,2011
משולש ימין עד 14 I20,,,,,,['Hyundai'],,Hyundai: i20,,,,,,,,Suspension,,,Right,Right Control Arm,,,,2014
משולש ימין עליון הייס,,,,,,['Toyota'],,Toyota: Hiace,,,,,,,,Suspension,,,"Right, Upper",Right Control Arm,,,,
משולש ימין פוקוס מ06 15 ממ,,,,,,['Ford'],,Ford: Focus,,15 mm,,,,,,Suspension,,,Right,Right Control Arm,,,2006,
משולש ימין פוקוס מ12,,,,,,['Ford'],,Ford: Focus,,,,,,,,Suspension,,,Right,Right Control Arm,,,2012,
משולש ימין פורטה מ13,,,,,,['Kia'],,Kia: Forte,,,,,,,,Suspension,,,Right,Right Control Arm,,,2013,
משולש ימין פורסטר מ14,,,,,,['Subaru'],,Subaru: Forester,,,,,,,,Suspension,,,Right,Right Control Arm,,,2014,
משולש ימין פיקנטו מ11,,,,,,['Kia'],,Kia: Picanto,,,,,,,,Suspension,,,Right,Right Control Arm,,,2011,
משולש ימין פלואנס + מגאן מ09,,,,,,['Renault'],"['משולש ימין פלואנס', 'מגאן מ09']","Renault: Megane, Renault: Fluence",,,,,,,,Suspension,,,Right,Right Control Arm,,,2009,
משולש ימין פסאט מ15,,,,,,['Volkswagen'],,Volkswagen: Passat,,,,,,,,Suspension,,,Right,Right Control Arm,,,2015,
משולש ימין קורולה 03-07,,,,,,['Toyota'],,Toyota: Corolla,,,,,,,,Suspension,,,Right,Right Control Arm,,,2003,2007
משולש ימין קורולה מ08,,,,,,['Toyota'],,Toyota: Corolla,,,,,,,,Suspension,,,Right,Right Control Arm,,,2008,
משולש ימין קינג מ01,,,,,,['Mazda'],,Mazda: Kingcab,,,,,,,,Suspension,,,Right,Right Control Arm,,,2001,
משולש ימין קליאו מ13,,,,,,['Renault'],,Renault: Clio,,,,,,,,Suspension,,,Right,Right Control Arm,,,2013,
משולש ימין ראב 4 מ07,,,,,,['Toyota'],,Toyota: RAV4,,,,,,,,Suspension,,,Right,Right Control Arm,,,2007,
משולש ימין רומסטר+ איביזה מ09,,,,,,"['Seat', 'Skoda']","['משולש ימין רומסטר', 'איביזה מ09']","Skoda: Roomster, Seat: Ibiza",,,,,,,,Suspension,,,Right,Right Control Arm,,,2009,
משולש ימין ריו מ12,,,,,,['Kia'],,Kia: Rio,,,,,,,,Suspension,,,Right,Right Control Arm,,,2012,
משולש ימין תחתון טוארג עד 10 אלומינים,,,,,,[],,,,,,,,,,Suspension,Aluminum,,"Right, Lower",Right Control Arm,,,,2010
משולש מזדה 3 מ13 ימין,,,,,,['Mazda'],,Mazda: Mazda3,,,,,,,,Suspension,,,Right,Control Arm,,,2013,
משולש מזדה 3 מ13 שמאל,,,,,,['Mazda'],,Mazda: Mazda3,,,,,,,,Suspension,,,Left,Control Arm,,,2013,
משולש מזדה 6 מ08 ימין עליון,,,,,,['Mazda'],,Mazda: Mazda6,,,,,,,,Suspension,,,"Right, Upper",Control Arm,,,2008,
משולש מזדה 6 מ08 שמאל עליון,,,,,,['Mazda'],,Mazda: Mazda6,,,,,,,,Suspension,,,"Left, Upper",Control Arm,,,2008,
משולש עליון ימין לנדקרוזר מ03,,,,,,['Toyota'],,Toyota: Land Cruiser,,,,,,,,Suspension,,,"Right, Upper",Upper Control Arm,,,2003,
משולש עליון שמאל לנדקרוזר מ03,,,,,,['Toyota'],,Toyota: Land Cruiser,,,,,,,,Suspension,,,"Left, Upper",Upper Control Arm,,,2003,
משולש פוקוס מ06 שמאל 18 ממ,,,,,,['Ford'],,Ford: Focus,,18 mm,,,,,,Suspension,,,Left,Control Arm,,,2006,
משולש קנגו מ08 ימין,,,,,,['Renault'],,Renault: Kangoo,,,,,,,,Suspension,,,Right,Control Arm,,,2008,
משולש קשקאי מ14 ימין,,,,,,['Nissan'],,Nissan: Qashqai,,,,,,,,Suspension,,,Right,Control Arm,,,2014,
משולש קשקאי מ14 שמאל,,,,,,['Nissan'],,Nissan: Qashqai,,,,,,,,Suspension,,,Left,Control Arm,,,2014,
משולש שמאל 5008 + 3008 מ17,,,,,,['Peugeot'],"['משולש שמאל 5008', '3008 מ17']","Peugeot: 3008, Peugeot: 5008",,,,,,,,Suspension,,,Left,Left Control Arm,,,2017,
משולש שמאל אוקטביה מ05,,,,,,['Skoda'],,Skoda: Octavia,,,,,,,,Suspension,,,Left,Left Control Arm,,,2005,
משולש שמאל אקסטרייל + קשקאי מ08,,,,,,['Nissan'],"['משולש שמאל אקסטרייל', 'קשקאי מ08']","Nissan: Qashqai, Nissan: X-Trail",,,,,,,,Suspension,,,Left,Left Control Arm,,,2008,
משולש שמאל אקסנט מ07,,,,,,['Hyundai'],,Hyundai: Accent,,,,,,,,Suspension,,,Left,Left Control Arm,,,2007,
משולש שמאל ברלינגו מ03,,,,,,['Citroen'],,Citroen: Berlingo,,,,,,,,Suspension,,,Left,Left Control Arm,,,2003,
משולש שמאל ברלינגו מ08,,,,,,['Citroen'],,Citroen: Berlingo,,,,,,,,Suspension,,,Left,Left Control Arm,,,2008,
משולש שמאל ברלינגו מ19,,,,,,['Citroen'],,Citroen: Berlingo,,,,,,,,Suspension,,,Left,Left Control Arm,,,2019,
משולש שמאל גוק מ10,,,,,,['Nissan'],,Nissan: Juke,,,,,,,,Suspension,,,Left,Left Control Arm,,,2010,
משולש שמאל גרנד קופה מ16 ברזל גנט 18,,,,,,['Renault'],,Renault: Grand Coupe,,,,,,,,Suspension,Iron,,Left,Left Control Arm,,,2016,
משולש שמאל גרנד קופה מ16,,,,,,['Renault'],,Renault: Grand Coupe,,,,,,,,Suspension,,,Left,Left Control Arm,,,2016,
משולש שמאל דאציה דאסטר מ14,,,,,,['Dacia'],,,,,,,,,,Suspension,,,Left,Left Control Arm,,,2014,
משולש שמאל טיגואן + פסאט מ11,,,,,,['Volkswagen'],"['משולש שמאל טיגואן', 'פסאט מ11']","Volkswagen: Passat, Volkswagen: Tiguan",,,,,,,,Suspension,,,Left,Left Control Arm,,,2011,
משולש שמאל טידה מ08 + קליאו מ06,,,,,,"['Renault', 'Nissan']","['משולש שמאל טידה מ08', 'קליאו מ06']","Nissan: Tiida, Renault: Clio",,,,,,,,Suspension,,,Left,Left Control Arm,,,2008,
משולש שמאל יאריס מ07,,,,,,['Toyota'],,Toyota: Yaris,,,,,,,,Suspension,,,Left,Left Control Arm,,,2007,
משולש שמאל לנסר מ04,,,,,,['Mitsubishi'],,Mitsubishi: Lancer,,,,,,,,Suspension,,,Left,Left Control Arm,,,2004,
משולש שמאל לנסר מ08,,,,,,['Mitsubishi'],,Mitsubishi: Lancer,,,,,,,,Suspension,,,Left,Left Control Arm,,,2008,
משולש שמאל מ06 C3 פיקסו,,,,,,['Citroen'],,Citroen: C3,,,,,,,,Suspension,,,Left,Left Control Arm,,,2006,
משולש שמאל מ07 SX4,,,,,,['Suzuki'],,Suzuki: SX4,,,,,,,,Suspension,,,Left,Left Control Arm,,,2007,
משולש שמאל מ10 IX35 + ספורטאג,,,,,,"['Kia', 'Hyundai']","['משולש שמאל מ10 IX35', 'ספורטאג']","Hyundai: ix35, Kia: Sportage",,,,,,,,Suspension,,,Left,Left Control Arm,,,2010,
משולש שמאל מ11 I25,,,,,,['Hyundai'],,Hyundai: i25,,,,,,,,Suspension,,,Left,Left Control Arm,,,2011,
משולש שמאל מ11 I35,,,,,,['Hyundai'],,Hyundai: i35,,,,,,,,Suspension,,,Left,Left Control Arm,,,2011,
משולש שמאל מ12 I30,,,,,,['Hyundai'],,Hyundai: i30,,,,,,,,Suspension,,,Left,Left Control Arm,,,2012,
משולש שמאל מ13 CX5 + מזדה 6,,,,,,['Mazda'],"['משולש שמאל מ13 CX5', 'מזדה 6']","Mazda: Mazda6, Mazda: CX-5",,,,,,,,Suspension,,,Left,Left Control Arm,,,2013,
משולש שמאל מ14 I10,,,,,,['Hyundai'],,Hyundai: i10,,,,,,,,Suspension,,,Left,Left Control Arm,,,2014,
משולש שמאל מ17 I30 + סיד,,,,,,"['Kia', 'Hyundai']","['משולש שמאל מ17 I30', 'סיד']","Hyundai: i30, Kia: Ceed",,,,,,,,Suspension,,,Left,Left Control Arm,,,2017,
משולש שמאל מ17 XV,,,,,,['Subaru'],,Subaru: XV,,,,,,,,Suspension,,,Left,Left Control Arm,,,2017,
משולש שמאל מגאן מ04,,,,,,['Renault'],,Renault: Megane,,,,,,,,Suspension,,,Left,Left Control Arm,,,2004,
משולש שמאל מושלם מליבו מ16,,,,,,['Chevrolet'],,Chevrolet: Malibu,,,,,,,,Suspension,,,Left,Left Control Arm,,,2016,
משולש שמאל מזדה 2 מ08,,,,,,['Mazda'],,Mazda: Mazda2,,,,,,,,Suspension,,,Left,Left Control Arm,,,2008,
משולש שמאל מזדה 2 מ15,,,,,,['Mazda'],,Mazda: Mazda2,,,,,,,,Suspension,,,Left,Left Control Arm,,,2015,
משולש שמאל מזדה 3 + 5 עד 08,,,,,,['Mazda'],"['משולש שמאל מזדה 3', '5 עד 08']",Mazda: Mazda3,,,,,,,,Suspension,,,Left,Left Control Arm,,,,2008
משולש שמאל מזדה 3 מ09,,,,,,['Mazda'],,Mazda: Mazda3,,,,,,,,Suspension,,,Left,Left Control Arm,,,2009,
משולש שמאל נירו + איוניק מ16,,,,,,"['Kia', 'Hyundai']","['משולש שמאל נירו', 'איוניק מ16']","Hyundai: Ioniq, Kia: Niro",,,,,,,,Suspension,,,Left,Left Control Arm,,,2016,
משולש שמאל סופרב מ09 + גטה מ11,,,,,,"['Skoda', 'Volkswagen']","['משולש שמאל סופרב מ09', 'גטה מ11']","Skoda: Superb, Volkswagen: Jetta",,,,,,,,Suspension,,,Left,Left Control Arm,,,2009,
משולש שמאל סיוויק מ06,,,,,,['Honda'],,Honda: Civic,,,,,,,,Suspension,,,Left,Left Control Arm,,,2006,
משולש שמאל סיויק מ06,,,,,,['Honda'],,Honda: Civic,,,,,,,,Suspension,,,Left,Left Control Arm,,,2006,
משולש שמאל סיויק מ17,,,,,,['Honda'],,Honda: Civic,,,,,,,,Suspension,,,Left,Left Control Arm,,,2017,
משולש שמאל סיריון מ06,,,,,,['Daihatsu'],,Daihatsu: Sirion,,,,,,,,Suspension,,,Left,Left Control Arm,,,2006,
משולש שמאל סנטה פה מ07,,,,,,['Hyundai'],,Hyundai: Santa Fe,,,,,,,,Suspension,,,Left,Left Control Arm,,,2007,
משולש שמאל סנטה פה מ13,,,,,,['Hyundai'],,Hyundai: Santa Fe,,,,,,,,Suspension,,,Left,Left Control Arm,,,2013,
משולש שמאל סנטרה מ15,,,,,,['Nissan'],,Nissan: Sentra,,,,,,,,Suspension,,,Left,Left Control Arm,,,2015,
משולש שמאל ספארק מ10,,,,,,['Chevrolet'],,Chevrolet: Spark,,,,,,,,Suspension,,,Left,Left Control Arm,,,2010,
משולש שמאל ספורטאג + טוסון מ16,,,,,,"['Kia', 'Hyundai']","['משולש שמאל ספורטאג', 'טוסון מ16']","Hyundai: Tucson, Kia: Sportage",,,,,,,,Suspension,,,Left,Left Control Arm,,,2016,
משולש שמאל עד 11 I30 + סיד,,,,,,"['Kia', 'Hyundai']","['משולש שמאל עד 11 I30', 'סיד']","Hyundai: i30, Kia: Ceed",,,,,,,,Suspension,,,Left,Left Control Arm,,,,2011
משולש שמאל עד 13 I10,,,,,,['Hyundai'],,Hyundai: i10,,,,,,,,Suspension,,,Left,Left Control Arm,,,,2013
משולש שמאל עד 14 I20,,,,,,['Hyundai'],,Hyundai: i20,,,,,,,,Suspension,,,Left,Left Control Arm,,,,2014
משולש שמאל עליון הייס,,,,,,['Toyota'],,Toyota: Hiace,,,,,,,,Suspension,,,"Left, Upper",Left Control Arm,,,,
משולש שמאל פוקוס מ06 15 ממ,,,,,,['Ford'],,Ford: Focus,,15 mm,,,,,,Suspension,,,Left,Left Control Arm,,,2006,
משולש שמאל פוקוס מ12,,,,,,['Ford'],,Ford: Focus,,,,,,,,Suspension,,,Left,Left Control Arm,,,2012,
משולש שמאל פורטה מ13,,,,,,['Kia'],,Kia: Forte,,,,,,,,Suspension,,,Left,Left Control Arm,,,2013,
משולש שמאל פורסטר מ14,,,,,,['Subaru'],,Subaru: Forester,,,,,,,,Suspension,,,Left,Left Control Arm,,,2014,
משולש שמאל פיגו 208,,,,,,['Peugeot'],,Peugeot: 208,,,,,,,,Suspension,,,Left,Left Control Arm,,,,
משולש שמאל פיקנטו מ11,,,,,,['Kia'],,Kia: Picanto,,,,,,,,Suspension,,,Left,Left Control Arm,,,2011,
משולש שמאל פלואנס + מגאן מ09,,,,,,['Renault'],"['משולש שמאל פלואנס', 'מגאן מ09']","Renault: Megane, Renault: Fluence",,,,,,,,Suspension,,,Left,Left Control Arm,,,2009,
משולש שמאל פסאט מ15,,,,,,['Volkswagen'],,Volkswagen: Passat,,,,,,,,Suspension,,,Left,Left Control Arm,,,2015,
משולש שמאל קורולה 03-07,,,,,,['Toyota'],,Toyota: Corolla,,,,,,,,Suspension,,,Left,Left Control Arm,,,2003,2007
משולש שמאל קורולה מ08,,,,,,['Toyota'],,Toyota: Corolla,,,,,,,,Suspension,,,Left,Left Control Arm,,,2008,
משולש שמאל קליאו מ13,,,,,,['Renault'],,Renault: Clio,,,,,,,,Suspension,,,Left,Left Control Arm,,,2013,
משולש שמאל קנגו מ08,,,,,,['Renault'],,Renault: Kangoo,,,,,,,,Suspension,,,Left,Left Control Arm,,,2008,
משולש שמאל ראב 4 מ07,,,,,,['Toyota'],,Toyota: RAV4,,,,,,,,Suspension,,,Left,Left Control Arm,,,2007,
משולש שמאל רומסטר+ איביזה מ09,,,,,,"['Seat', 'Skoda']","['משולש שמאל רומסטר', 'איביזה מ09']","Skoda: Roomster, Seat: Ibiza",,,,,,,,Suspension,,,Left,Left Control Arm,,,2009,
משולש שמאל ריו מ12,,,,,,['Kia'],,Kia: Rio,,,,,,,,Suspension,,,Left,Left Control Arm,,,2012,
משולש שמאל תחתון טוארג מ11 + Q7,,,,,,['Audi'],"['משולש שמאל תחתון טוארג מ11', 'Q7']",Audi: Q7,,,,,,,,Suspension,,,"Left, Lower",Left Control Arm,,,2011,
משולש שמאל תחתון טוארג עד 10 אלומינים,,,,,,[],,,,,,,,,,Suspension,Aluminum,,"Left, Lower",Left Control Arm,,,,2010
משולש תחתון ימין 4x2 ויגו מ06,,,,,,['Toyota'],,Toyota: Hilux Vigo,,,,Two-wheel drive,,,,Suspension,,,"Right, Lower",Lower Control Arm,,,2006,
משולש תחתון ימין 4x4 ויגו מ06,,,,,,['Toyota'],,Toyota: Hilux Vigo,,,,Four-wheel drive,,,,Suspension,,,"Right, Lower",Lower Control Arm,,,2006,
משולש תחתון ימין מזדה 6 מ08,,,,,,['Mazda'],,Mazda: Mazda6,,,,,,,,Suspension,,,"Right, Lower",Lower Control Arm,,,2008,
משולש תחתון מ10 ימין T5,,,,,,['Volkswagen'],,Volkswagen: Transporter T5,,,,,,,,Suspension,,,"Right, Lower",Lower Control Arm,,,2010,
משולש תחתון שמאל 4x2 ויגו מ06,,,,,,['Toyota'],,Toyota: Hilux Vigo,,,,Two-wheel drive,,,,Suspension,,,"Left, Lower",Lower Control Arm,,,2006,
משולש תחתון שמאל מ10 שמאל T5,,,,,,['Volkswagen'],,Volkswagen: Transporter T5,,,,,,,,Suspension,,,"Left, Lower",Lower Control Arm,,,2010,
משולש תחתון שמאל מזדה 6 מ08,,,,,,['Mazda'],,Mazda: Mazda6,,,,,,,,Suspension,,,"Left, Lower",Lower Control Arm,,,2008,
משןלש ימין מ13 CX5 + מזדה 6,,,,,,['Mazda'],"['משןלש ימין מ13 CX5', 'מזדה 6']","Mazda: Mazda6, Mazda: CX-5",,,,,,,,,,,Right,,,,2013,
נאבה אחורית 12-16 XV,,,,,,['Subaru'],,Subaru: XV,,,,,,,,Wheel,,,Rear,Rear Wheel Hub,,,2012,2016
נאבה אחורית CX5 + מזדה 6 מ13,,,,,,['Mazda'],"['נאבה אחורית CX5', 'מזדה 6 מ13']","Mazda: Mazda6, Mazda: CX-5",,,,,,,,Wheel,,,Rear,Rear Wheel Hub,,,2013,
נאבה אחורית אוקטביה מ05,,,,,,['Skoda'],,Skoda: Octavia,,,,,,,,Wheel,,,Rear,Rear Wheel Hub,,,2005,
נאבה אחורית מ08 I30,,,,,,['Hyundai'],,Hyundai: i30,,,,,,,,Wheel,,,Rear,Rear Wheel Hub,,,2008,
נאבה אחורית מ09 B4 + פורסטר,,,,,,['Subaru'],"['נאבה אחורית מ09 B4', 'פורסטר']","Subaru: Forester, Subaru: Legacy B4",,,,,,,,Wheel,,,Rear,Rear Wheel Hub,,,2009,
נאבה אחורית פביה + רומסטר,,,,,,['Skoda'],"['נאבה אחורית פביה', 'רומסטר']","Skoda: Roomster, Skoda: Fabia",,,,,,,,Wheel,,,Rear,Rear Wheel Hub,,,,
נאבה אחורית פיקנטו מ11,,,,,,['Kia'],,Kia: Picanto,,,,,,,,Wheel,,,Rear,Rear Wheel Hub,,,2011,
נאבה אחורית קורולה מ08,,,,,,['Toyota'],,Toyota: Corolla,,,,,,,,Wheel,,,Rear,Rear Wheel Hub,,,2008,
נאבה מליבו 13-15 קדמי + אחורי,,,,,,['Chevrolet'],"['נאבה מליבו 13-15 קדמי', 'אחורי']",Chevrolet: Malibu,,,,,,,,Wheel,,,"Front, Rear",Wheel Hub,,,2013,2015
נאבה קדמי איביזה מ17,,,,,,['Seat'],,Seat: Ibiza,,,,,,,,Wheel,,,Front,Wheel Hub,,,2017,
נאבה קדמית  A4 מ16,,,,,,['Audi'],,Audi: A4,,,,,,,,Wheel,,,Front,Front Wheel Hub,,,2016,
נאבה קדמית אוקטביה מ05 3 חורים,,,,,,['Skoda'],,Skoda: Octavia,,,,,,,,Wheel,,,Front,Front Wheel Hub,,,2005,
נאבה קדמית אוקטביה מ05 4 חורים,,,,,,['Skoda'],,Skoda: Octavia,,,,,,,,Wheel,,,Front,Front Wheel Hub,,,2005,
נאבה קדמית אוקטביה מ13,,,,,,['Skoda'],,Skoda: Octavia,,,,,,,,Wheel,,,Front,Front Wheel Hub,,,2013,
נאבה קדמית גטס + אקסנט עד 06,,,,,,['Hyundai'],"['נאבה קדמית גטס', 'אקסנט עד 06']","Hyundai: Accent, Hyundai: Getz",,,,,,,,Wheel,,,Front,Front Wheel Hub,,,,2006
נאבה קדמית הנטר + טרייטון מ15,,,,,,['Mitsubishi'],"['נאבה קדמית הנטר', 'טרייטון מ15']","Mitsubishi: Triton, Mitsubishi: Hunter",,,,,,,,Wheel,,,Front,Front Wheel Hub,,,2015,
נאבה קדמית טסלה,,,,,,['Tesla'],,Tesla: Tesla,,,,,,,,Wheel,,,Front,Front Wheel Hub,,,,
נאבה קדמית מ09 B4 + פורסטר מ13,,,,,,['Subaru'],"['נאבה קדמית מ09 B4', 'פורסטר מ13']","Subaru: Forester, Subaru: Legacy B4",,,,,,,,Wheel,,,Front,Front Wheel Hub,,,2009,
נאבה קדמית מ12 XV,,,,,,['Subaru'],,Subaru: XV,,,,,,,,Wheel,,,Front,Front Wheel Hub,,,2012,
נאבה קדמית מ17 A5,,,,,,['Audi'],,Audi: A5,,,,,,,,Wheel,,,Front,Front Wheel Hub,,,2017,
נאבה קדמית מזדה 3 מ13,,,,,,['Mazda'],,Mazda: Mazda3,,,,,,,,Wheel,,,Front,Front Wheel Hub,,,2013,
נאבה קדמית קורולה מ08,,,,,,['Toyota'],,Toyota: Corolla,,,,,,,,Wheel,,,Front,Front Wheel Hub,,,2008,
